chain,draw,warmup,m2[1],m2[2],m2[3],m2[4],m2[5],m2[6],m2[7],m2[8],m2[9],m2[10],m2[11],m2[12],m2[13],m2[14],m2[15],m2[16],m2[17],m2[18],m2[19],m2[20],m2[21],m2[22],m2[23],m2[24],m2[25],m2[26],m2[27],m2[28],net_status[1],net_status[2],net_status[3],net_status[4],net_status[5],net_status[6],net_status[7],net_status[8],net_status[9],net_status[10],net_status[11],net_status[12],net_status[13],net_status[14],net_status[15],net_status[16],net_status[17],net_status[18],net_status[19],net_status[20],net_status[21],net_status[22],net_status[23],net_status[24],net_status[25],net_status[26],net_status[27],net_status[28],net_status[29],net_status[30],net_status[31],net_status[32],net_status[33],net_status[34],net_status[35],net_status[36],net_status[37],net_status[38],net_status[39],net_status[40],net_status[41],net_status[42],net_status[43],net_status[44],net_status[45],net_status[46],net_status[47],net_status[48],net_status[49],net_status[50],net_status[51],net_status[52],net_status[53],net_status[54],net_status[55],net_status[56],net_status[57],net_status[58],net_status[59],net_status[60],net_status[61],net_status[62],net_status[63],net_status[64],net_status[65],net_status[66],net_status[67],net_status[68],net_status[69],net_status[70],net_status[71],net_status[72],net_status[73],net_status[74],net_status[75],net_status[76],net_status[77],net_status[78],net_status[79],net_status[80],net_status[81],net_status[82],net_status[83],net_status[84],net_status[85],net_status[86],net_status[87],net_status[88],net_status[89],net_status[90],net_status[91],net_status[92],net_status[93],net_status[94],net_status[95],net_status[96],net_status[97],net_status[98],net_status[99],net_status[100],r_ns,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__
0,2,0,1.36877442947381,1.1409470003925746,1.0862222637071457,1.4459594360883008,1.278458749053704,1.1793359461332185,1.4046677724744123,3.3616845351517846,2.366955545960696,2.0769282933415623,2.3981758453384763,1.4100703065389562,1.143270523126945,2.000200689300271,2.4560549004551095,2.3587622233884233,1.2687555186480062,1.1957959275800754,3.348437695365255,3.221022211433718,1.0251509602802007,1.1649713281756102,3.15857735501021,1.477050824316557,1.350216865559099,1.1798652721087448,1.3778648717075745,2.158716604907541,0.5385610233126061,0.2059352708492349,0.2542678054259362,0.4285769826455069,0.08278774927185861,0.8561461536273545,0.9119666021431584,0.2163577106407908,0.4695843445635095,0.8423919130800238,0.29850409717197957,0.6078490195997589,0.4440755780351563,0.4086925396479534,0.7924916540897277,0.4676251036031186,0.4513343201310518,0.9921648577202309,0.9614457067357761,0.23609370427578424,0.22791659913886808,0.6583376412466383,0.42484487750001887,0.7131931608541958,0.7329439709643615,0.7895442024456814,0.2669649432837897,0.998225730490832,0.4855559849653406,0.08491668335413727,0.11709729416268877,0.5486611799590677,0.5166095595955293,0.934807451222241,0.9005795559772038,0.4707238123286016,0.2071489993418365,0.5723504878222057,0.3020395898534073,0.6541330319454515,0.526688348148292,0.8395521157351787,0.13088544751615194,0.24508095745818592,0.594382245685008,0.6230978766414106,0.39978123379665675,0.9016129436601517,0.8048348199855019,0.5483512067819881,0.40422986499115454,0.40706897087131755,0.11428912682562375,0.9359790823023,0.23667136393088783,0.15421791958467557,0.5104868949422271,0.45999457893362605,0.06978216115903102,0.5764304175823508,0.7020691440601532,0.4820481109970495,0.07407089005587775,0.18229517230813863,0.12043732437274923,0.5923299145446576,0.08620335012544256,0.3879196422370622,0.15137058815709992,0.419153038181887,0.6328012764147714,0.36071775081959967,0.8956840358781117,0.4198279035567418,0.9329763995357121,0.8149012598607237,0.11713963979052155,0.10066742976167442,0.13645049637536677,0.6395307417310419,0.6844152032481906,0.7952363187190313,0.5385485983425234,0.680399672520601,0.6975783088426438,0.337632409920015,0.6535551308358207,0.41524262318381566,0.631102883714391,0.9334608232587114,0.44350922183160246,0.5125396900957877,0.3402798003852816,0.5867212254165933,0.8658364917989926,0.2794808537296698,0.830212369795358,0.524841653373661,0.23240130311037555,0.423724039056496,0.8285093371259615,-4758.429005237615,0.8333332941489685,0.003573294422049443,2,6,1,4807.241515360349
0,3,0,1.3654650779129114,1.1375033581551564,1.0837563472119673,1.4318817101094683,1.2771175718909933,1.1753629801614154,1.404495814859765,3.3694369151370873,2.373126738160334,2.073700213752711,2.413441690940733,1.4148772398517604,1.1494775073611558,1.9969216787843258,2.4581337648806385,2.3495907249364327,1.2714271910358752,1.1921570420993843,3.3568949960800003,3.202291112905608,1.02431657868724,1.1646108766690269,3.1767298462611095,1.4761497927916376,1.3471701822135782,1.175490755865135,1.386800912467808,2.152288654915161,0.5408677799699843,0.20385477452176615,0.25411325127704965,0.42938135040296455,0.08226896914192672,0.8563157174074629,0.912152109716709,0.21481319288447642,0.46726289365504936,0.8427457552200722,0.3009184259887806,0.6049812840332176,0.44234923431284523,0.4095170978447954,0.7916026194900367,0.46895336187391146,0.4501999615140867,0.9922440814448541,0.9615513255928774,0.23625764162143892,0.22944125834770557,0.6582323197900077,0.42290548987253995,0.7164204417567136,0.7313771251225797,0.7895131424997275,0.26722213337846357,0.9982253095849263,0.4858215270223224,0.08447832955732959,0.11686087071419693,0.5495503584939515,0.5143631003971547,0.9341181761780043,0.8994173005082101,0.46884104052344033,0.20755610906023514,0.5719476925351309,0.3044657430731862,0.6533600975294888,0.5269494668424208,0.839137317673981,0.13087202900230277,0.2458379874897979,0.5948496914117261,0.6220888077431895,0.39724639254557326,0.9015163248672952,0.8049229245302764,0.546486056826138,0.4023509200134191,0.4075344792300334,0.1152175948459081,0.9363240519053743,0.23828243441780383,0.1542048431413865,0.50798929166815,0.460977400963256,0.06982652150438007,0.5757146121826835,0.7035398825288403,0.48300044367972705,0.07431401047415487,0.18044833642414326,0.1207025034196797,0.5928344529131597,0.08612848220298741,0.38834528500260423,0.1518897730997859,0.417407988960093,0.6311757015544643,0.36094591027224,0.8952371920845638,0.42104587391402837,0.933491494524196,0.8136748258328051,0.11714695826988741,0.1010383760717326,0.13595007781301893,0.6396007232631518,0.6841048067061956,0.7940054136742772,0.5406563679827836,0.6806296020117641,0.6964907146452294,0.33806043694371846,0.6555959768402245,0.41482108085488445,0.6295885756913656,0.9337653507749214,0.44311520015078454,0.5133740611484979,0.34153566101851807,0.5890949162180487,0.8664452038837795,0.27941554885675546,0.830859484252462,0.5278796186142435,0.23196749802880734,0.4248151222053006,0.8285158031493275,-4758.452918365344,0.9166666604993073,0.003573294422049443,3,12,1,4810.550231023217
0,4,0,1.3528635992216995,1.1357787188812574,1.098609377365447,1.37255632438371,1.2772479958288718,1.1778152916135656,1.4591581128362876,3.2980079509014746,2.4464952102050948,2.0353910562977218,2.3977572665946036,1.4381858423581932,1.1229432169345546,1.9870328917551099,2.424155883949086,2.3176474966181653,1.2608238579973259,1.1921543917495208,3.2855634139159733,3.1254753145489884,1.0357521540112273,1.1659373983203478,3.084268077649217,1.4695498414549948,1.3654288574980014,1.1414537866980803,1.4084009006200222,2.1368689442113413,0.5531543135125713,0.20845031081994014,0.24715633433773643,0.4228146850460487,0.07948767591542305,0.854379246904027,0.9142170971529543,0.2110470705231735,0.47519445456693143,0.8370020383141888,0.29057556621435765,0.5990172218121498,0.44606350859189503,0.4267268962630095,0.7972322526924172,0.4771164271357432,0.4467990377555988,0.9925400398657394,0.9629299169931618,0.22782662541255516,0.23209579635461675,0.6504903019596969,0.42025615992491694,0.7251356854900661,0.7349138744470708,0.7853001976623886,0.2526285211113489,0.9981996866676907,0.5016333265955804,0.08228536832898459,0.11671311899525738,0.5412859432280063,0.5069828522202189,0.9309138374948528,0.9002573410178571,0.4836338358149668,0.21361970155377474,0.5709175208056848,0.30484917724658755,0.6498504754013746,0.5155066442867661,0.8429726854880275,0.11996690393075404,0.2401558706463498,0.6006195930821725,0.6125921078416696,0.4009387676831635,0.9003865029632596,0.8014465530691344,0.5345600416839946,0.4022942579808265,0.4002430328276251,0.11348139218722453,0.9334045325220799,0.24274290086916894,0.15892400682200847,0.51416232244521,0.4548483897884712,0.07028091155014526,0.5646321556758636,0.7069556582522295,0.48609102440531426,0.06931629129718075,0.18706553040899077,0.12220235957892023,0.6036238868620026,0.08619776985892524,0.38601633699011617,0.14412321703870112,0.4183173933896692,0.6235485826612073,0.3533297573645331,0.8963504226721916,0.42363235257754883,0.9308075239397543,0.8083724292984041,0.1172356479938681,0.10118794649926355,0.1329205867877019,0.6448048271483079,0.678423135344266,0.7856065142303031,0.5296758807558533,0.6746110207792244,0.7018330170347308,0.32560064711091663,0.6612136999595198,0.40820434774687064,0.6270123707820702,0.9356244987933479,0.4473005132450445,0.5111364866613567,0.33864639665980756,0.5906361300130738,0.8661664667893219,0.28361297667937246,0.8276264054576673,0.5503855992394506,0.24052836086110918,0.4239167090770699,0.8253602834948377,-4758.691111390497,0.9523808236399638,0.003573294422049443,4,21,1,4820.880103604524
1,0,0,1.3770328844128867,1.1490191760609574,1.0848938733214557,1.4388843564829878,1.3320936580828615,1.237978469764053,1.389289512807292,3.3627194619599554,2.3001292941099987,2.1257147423818914,2.3958179708991962,1.3009642915101516,1.1571940401058896,2.042355576104186,2.432468676851523,2.3279780013713367,1.2114325572492222,1.1894922808897417,3.4136188532493716,3.2406483209501435,1.0659821683159474,1.1300972992949085,3.114936459479139,1.4828193830123306,1.375059002814568,1.1870907884214603,1.4449982703065374,2.1666616263399563,0.5291350479164125,0.2051296933667086,0.25938332704222566,0.43203413323231143,0.08195718123535323,0.8582869981205893,0.9097145541026723,0.2087430530866412,0.47038054284051223,0.846389209799461,0.2753357692346451,0.6243224058210257,0.45538743126502956,0.40160470877172105,0.7874550523602223,0.4686113107283826,0.47944930309243183,0.9929034981335704,0.9625801292298548,0.23414042080321285,0.22180804660356068,0.6526635037213765,0.4002242434237774,0.7216114877861056,0.7255435776612132,0.786077888949429,0.272352303188365,0.9983682955196653,0.49000541786036866,0.0879613914564985,0.11080644859315292,0.5695647792073458,0.5088669300063797,0.9360509943059541,0.9036289124206459,0.47209314722707707,0.20078201430800957,0.5656276236471705,0.3074068988436256,0.6383131229960085,0.5131515169065644,0.8443501484528799,0.13765695443720716,0.24313344233800904,0.5858713371651513,0.6289239926514447,0.4178368043603894,0.898751017108977,0.8154670587765225,0.5419835903845489,0.3965508114501285,0.3821016283509966,0.11312197301217697,0.9392792402782739,0.2321986395669856,0.1577701457764088,0.4948937798579265,0.45298009720425003,0.07665889583008323,0.5815933748581441,0.6948741052499883,0.49296906224779125,0.07583204495517337,0.17361249327338768,0.12127638562430199,0.5866513175164877,0.08229249159690888,0.3915773131421272,0.14548724517516676,0.41638701913487175,0.6211374906679092,0.3628582838289691,0.9015486566166648,0.4187092786563842,0.9347969987285001,0.823921645928361,0.1174654486963268,0.10263647260355302,0.13158995527655215,0.6310342118441533,0.685632024303108,0.7828230788386786,0.5454259063091602,0.6733005903322878,0.6808304993312366,0.33910186189950375,0.6601339344192159,0.40977719519078837,0.633912943328543,0.9354506959315944,0.43125986188511756,0.501823329347896,0.326635857666959,0.5903743676967877,0.8654808513118654,0.2694995486821661,0.8369040851532908,0.5314344429695234,0.2176839395389012,0.42440266931697923,0.8764960829810677,-4522.094388493346,0.6666656536296546,0.017637269399044395,1,3,1,4592.701526054528
1,1,0,1.3871600548112792,1.1511007922567285,1.0866775680624199,1.4616669681222667,1.3348205012152787,1.242430862094013,1.3992185165979254,3.353169678676438,2.2897454923357463,2.1072182540382567,2.4320564518193204,1.2934735034545808,1.1504614995256515,2.040030630263958,2.428134831880276,2.392439417891352,1.2323277343047168,1.1943933155052626,3.432331168458542,3.2811301454352857,1.0608227238042618,1.1326965389761725,3.1224515965762465,1.4837366256235804,1.3591696796675323,1.1897903528859095,1.4326963160971027,2.1241530531373387,0.5218264353901817,0.20065899177390079,0.2570669972270089,0.4279174524247402,0.08277388664062679,0.8561308716763785,0.9107781279430223,0.209971266238984,0.47217984229361576,0.8473402193310152,0.2736054838974824,0.6239291886993841,0.4574259220106761,0.40204184154002975,0.7917569610899599,0.4742556433267734,0.4847788878069643,0.9927471052312419,0.9623118921963268,0.23220092668065195,0.2176923900491997,0.6444515135261986,0.40268667517883494,0.7180040635741701,0.7227141103766089,0.7847184588447931,0.26919284162052626,0.9983818856733111,0.4868714753564779,0.08690125401441695,0.11136243058402118,0.5702942319914164,0.5039327986683416,0.9361971311742269,0.9019210913316096,0.4587868675010617,0.20345153742590005,0.5691492909851837,0.30640073575863047,0.6381130759246686,0.514175659016529,0.8455055048337151,0.13543398027278353,0.24200740073355642,0.5767929899653454,0.6251160908783594,0.4136046426031831,0.8999365367162442,0.8163605048550309,0.5478118410191868,0.3915395862495482,0.38107143830839185,0.11388840113647447,0.9397044115423211,0.22833822329073084,0.16072385054109584,0.49381177013692445,0.44519556146109407,0.0732741812121267,0.5799552525031137,0.6977669789664914,0.4845530686042071,0.07464530997222518,0.17379867395690385,0.12205711906406402,0.587022762713139,0.08031982899070589,0.3912681001810031,0.14334544244101544,0.41636378619226866,0.6185565702596386,0.3631906456434705,0.900366634958396,0.41774915290965875,0.936176125970766,0.8296161763352328,0.11796141921598213,0.10139676387190288,0.1308915448038922,0.630225397391385,0.6892963388380077,0.7830117608777524,0.548813505906757,0.669909600755182,0.6781111627411028,0.3458412066615296,0.6604521991320232,0.4125698691865599,0.637510750275737,0.9352650737306335,0.43375651498515133,0.5066726826369428,0.33453491368596255,0.5871119457008899,0.8646205224383819,0.26961141654706766,0.8350388956245328,0.5377240501397909,0.21383260465900678,0.4197229273807529,0.876899640074961,-4522.189278257142,0.6666646740235164,0.017637269399044395,1,3,1,4587.211293706395
1,2,0,1.3806820790204886,1.1423155933955436,1.094363698725707,1.4817628899603204,1.3093728723502807,1.2286007172259257,1.3888546524654368,3.3678026259478218,2.2579305292174467,2.1232712375280167,2.49654698065072,1.30320110508951,1.1509481108700461,2.0656834829702984,2.4103799316798282,2.4259039340447544,1.2283340090246482,1.2071949586718602,3.4228723150577958,3.2554902448728704,1.0604984901974728,1.1750657968439087,3.121602335054544,1.421776587349026,1.3330351078288882,1.1646214468968596,1.3971775467554353,2.1447881769070385,0.5272955279074334,0.2058350382730897,0.2522242209017347,0.421715094638789,0.08512644833098748,0.8602220555895866,0.9104789063561888,0.20470618490641712,0.48965363486604696,0.8512913566823562,0.2798994693817781,0.6329400240902713,0.4635662950100359,0.39822480355122203,0.7907903288027006,0.4871639247453544,0.482996506239215,0.9927742166415949,0.9619280122749899,0.22804396167647223,0.20843366805488606,0.6394558047777814,0.41241534386158174,0.7158628784475514,0.7351919668608874,0.774577845841767,0.261798901513439,0.9984061502373892,0.4947342144833847,0.08430723645627536,0.11538854755909678,0.5725182333467332,0.5172990476356972,0.937794472651909,0.8981739520685519,0.46311053744107644,0.20633953127968807,0.5716989432204281,0.31629990998476254,0.6389419787160393,0.5120153683321793,0.8486467861349782,0.13299408707472227,0.24393580566446438,0.5884367811512069,0.6158945462075707,0.417203478578959,0.9009471604409255,0.8266102271277258,0.5436299048799625,0.38699497444287945,0.3854675436087772,0.1107569353934259,0.9381872325847317,0.22703848672442306,0.16008770590313304,0.4955971544423594,0.45415522059844826,0.07172930102415964,0.5690420100884246,0.7008919088630303,0.4942148139821865,0.07555847741894006,0.17445890921878837,0.1197439410035942,0.5961527848617305,0.08481945840090144,0.39109873382976634,0.1464192578649801,0.41580788008865244,0.6218968459772481,0.3702704956375078,0.9039574679401521,0.4246486789870576,0.9361485509972957,0.8318625412041585,0.11657693741244857,0.10675983176867165,0.1341773718791398,0.6286549847661522,0.7060895811381973,0.7850318258800651,0.5433430151902376,0.6749225804829222,0.6830625739611518,0.3376421489778604,0.678410913721438,0.4061206594130303,0.6382952787733818,0.9321523309553955,0.42793640032955993,0.5002735034356645,0.34019159639869423,0.5738979836057972,0.8627967399084955,0.265181103287809,0.8332391901762775,0.5182398252618711,0.2143306496184615,0.4161720368367564,0.8810365024658272,-4522.367223741316,0.49999645465330256,0.017637269399044395,2,4,1,4576.377701976473
1,3,0,1.3944255091500468,1.1316637718245866,1.0833864916143738,1.4915087129093623,1.3177888879427337,1.24275656202535,1.4181858383741528,3.3715033779725947,2.2614090272830545,2.093584658076539,2.4924267451597633,1.3020698792309058,1.1395688871602563,2.0677808169937832,2.4035602998067485,2.490193646858909,1.2343797943020374,1.2144732008980204,3.4031991139334448,3.2296259044579902,1.0546429733147127,1.1782735881820408,3.1416572331834383,1.4487987299297598,1.312929130812523,1.1713389887721393,1.4141262105955308,2.140402534908765,0.5203837944523164,0.20420780778105552,0.24703809789727682,0.42423840103946,0.08439551755763763,0.8619500640636321,0.9106207422780999,0.20664988359153336,0.49722437629822147,0.8514538692206877,0.2827759615239992,0.6359164068519682,0.46921843975063904,0.39450254511852445,0.7970122994537524,0.4840967675326252,0.4812284298281151,0.9926711287573952,0.9613586263212138,0.22967624094001915,0.21250511210015743,0.6383213102064429,0.4085478738054945,0.7182178466454334,0.7369860262763247,0.7672264912530559,0.2618630822866088,0.9983953378418273,0.4901699353359953,0.08236792105815005,0.11509499487827812,0.5710619231016352,0.5201309699809482,0.9389260189370625,0.8954110077734685,0.4760077731784823,0.20456613732676232,0.5835102325408815,0.31916248940550307,0.6426845619417609,0.508548717930265,0.8478352446453487,0.13191440982394043,0.24723814209430994,0.5957986496543753,0.6218314310697175,0.4220442568075391,0.9006313649221931,0.8249783389931562,0.5407688721328353,0.3839392359592998,0.3826435610049328,0.10991364230225886,0.938436590014396,0.2222296156048037,0.16170212399633233,0.4920054641281747,0.4483952031658067,0.07241053003614528,0.5732838903248486,0.7019784132982221,0.4916201276428135,0.07588181145395323,0.17373976635976618,0.1207282829783839,0.5988564324322252,0.08493182573772551,0.3891633018695132,0.14969975370602961,0.41839901549216985,0.6242763335921688,0.3689151636944571,0.9045684838461004,0.42787364989996723,0.9362808202879318,0.831341329350012,0.11738896763895246,0.10525115111703531,0.131128435873751,0.6260849788604428,0.7053307340659313,0.7869767075796272,0.5458120699058711,0.6737578636090786,0.6736746168509529,0.337297147063899,0.6740472323117805,0.407215998816722,0.6367829832134285,0.9320676413858346,0.42923515953028757,0.4961725521889613,0.34421850179112745,0.568985141546515,0.8655570273110907,0.27134688098213144,0.8290554690974075,0.5196287016870221,0.2196986797121374,0.4133210192266972,0.8821738846174639,-4522.275010213495,0.5,0.017637269399044395,1,2,1,4590.389501388686
1,4,0,1.3984596172459756,1.131218327110929,1.0851839635574119,1.491326560611498,1.3192901517151818,1.2440713999698028,1.439799772620264,3.3853907604723323,2.2547066697624767,2.0929436222748716,2.4766850957810367,1.2811878572590438,1.1512627000566569,2.0791376417125633,2.378542623370028,2.4933033721131777,1.2280959111940253,1.211566627068144,3.424700386509831,3.2842171643677354,1.0495634464854324,1.1662575505058888,3.090040726472817,1.481700400686599,1.3012969242201606,1.1501174388655406,1.4254160793482589,2.136299206868139,0.5119930187558653,0.2010628976020159,0.24844828113496453,0.43279852781145345,0.0866137619359334,0.8629543616178285,0.9103740943333162,0.21053509864268727,0.4945506701013721,0.8515565464444415,0.2878761499965713,0.6407471329452689,0.46736701027308014,0.3956781226118069,0.7980415407883324,0.48210244376046485,0.4845307135831136,0.9924820498303705,0.9615755767317394,0.23426998870358262,0.21557395055996142,0.6423243372012083,0.40771504803888947,0.7178425726622286,0.7363684300614708,0.7648520640432962,0.2577550877741709,0.998400947211511,0.4864247976832393,0.08369965098537013,0.11753769939976577,0.5705760647873717,0.5257680136554459,0.9401193965081363,0.8945077186605594,0.47898762830437525,0.204099368468163,0.5740723596209351,0.32120857469488595,0.6391455342647595,0.511096787805134,0.8484609755457421,0.13437927889274093,0.24813753574644382,0.5952405288250426,0.6276651642039629,0.43144362170897443,0.9019657870250981,0.829382121845055,0.5370541405376844,0.3886174850204166,0.379678657975972,0.1110443413484129,0.9396517252325642,0.22762290814014685,0.16424672557922926,0.4971147421554398,0.45474084889924626,0.07231341981711947,0.5695271735601033,0.6993795973869099,0.49537476166818684,0.07443994251629082,0.1704547149150386,0.12094807423879972,0.6013252859110343,0.08607858082282527,0.39010074701234687,0.1510124971789394,0.41147945050733337,0.627764423458816,0.36839351506429696,0.9031425328336814,0.42775239063461956,0.9374102832300686,0.8313069781984567,0.11905237457025764,0.10339358140958466,0.13314927452864056,0.6242507800902015,0.7004593779250478,0.7918810888190938,0.5401475505558017,0.6758908706772198,0.6819547871915969,0.33773639122145316,0.6756284441177319,0.40779952070701975,0.6386159691262052,0.9318177879053248,0.4284889635594057,0.48951085559891805,0.35380766804860986,0.5713575465704845,0.8678020224374137,0.2622866441328371,0.8278588031910418,0.5170011819964259,0.21983647539066709,0.4141183910354723,0.8820141209824732,-4522.23958298239,0.5,0.017637269399044395,1,2,1,4590.738000959156
2,0,0,1.387543875617229,1.1304627948050148,1.101643878389853,1.463615179561398,1.3142729473266295,1.2159927660955216,1.3805230664717507,3.2614744463764844,2.3297384880588536,2.038337400845277,2.463965534940633,1.3594584511358443,1.1744920909524479,1.9905332305537886,2.463746034045344,2.3583608280124437,1.23437658697748,1.2118377456541318,3.3885746622711013,3.212222044502146,1.0199429999138285,1.1828761748229937,3.1877621174948287,1.4424981986242917,1.4031792676753894,1.2610500595526344,1.2961905335384043,2.104471540502246,0.5291572052356602,0.21366045969428948,0.25912773430474345,0.43643258396373263,0.082318882450655,0.8590630847593195,0.914794768956892,0.21124617272251156,0.4781844652512962,0.8303591199838415,0.2821832987654097,0.6170726187616778,0.4414613357069641,0.3887748907270001,0.7969595484897213,0.4580290729823845,0.47390073770776686,0.9916972972390777,0.961949903336753,0.228333785569379,0.2316465754987379,0.6754136926427576,0.406459708039163,0.716505150924542,0.7414864832832774,0.7774826064979337,0.2532970996804803,0.9983639508026697,0.4851647357295721,0.08166493115687101,0.11952970711303701,0.5516811688496808,0.4887366790930826,0.9320528115262415,0.902484449020104,0.47768880424749716,0.21384408725137427,0.5518465102465374,0.31727228592781365,0.6533578040645485,0.5046773104314564,0.8376177414302457,0.1361471673067216,0.24712814716665799,0.5779363917786629,0.620139594616517,0.40668723194962353,0.9042944223673093,0.8161921146326048,0.5362407892014274,0.41676293391147823,0.40625683128969303,0.10982948611446397,0.9370597382574432,0.22990771633501728,0.1489364868669515,0.5074232459426273,0.45344726952762604,0.0797621186532822,0.5834382303013874,0.6944433185587406,0.47485118258389514,0.06899668988623953,0.17297171697102864,0.1164617610068317,0.5852726610077098,0.08988276843680387,0.38339803437722153,0.15631823578611637,0.4140684076560961,0.6356825476505209,0.36149809066996363,0.8943764038235457,0.43333960566458807,0.9357805780475567,0.8221558730523825,0.12178229951802921,0.10819872050175494,0.12872113016025277,0.6317383377622079,0.6827397834534961,0.7954189603607701,0.5346722165227399,0.6745492757568663,0.6860759761202134,0.330578846644461,0.6375005725661683,0.4108498550888281,0.6458393228715731,0.9323505174647124,0.4216491310078626,0.4994087476769077,0.32324919023933274,0.5609283237608375,0.8627359217617082,0.2892566988388685,0.8294965240085472,0.5123957973340336,0.22147393136392657,0.41261562996393253,0.8433542256218736,-4600.427125348442,0.5,0.017660638280936333,1,2,1,4660.336109892007
2,1,0,1.3690125188190883,1.1287398974760148,1.103990779456654,1.4395960732165944,1.2942179316694409,1.218408527920437,1.3914315355094786,3.2951522652515646,2.287401915503113,2.0439708638859617,2.441496420840504,1.3450888460555013,1.1533266768831805,2.012173753685535,2.4850853297861644,2.381410494472902,1.2324036206348654,1.2266866116961088,3.3873663086422034,3.2669087959764216,1.01488501785329,1.2003194047800265,3.1974740855845774,1.4277386564987569,1.3992713049786536,1.273508473651705,1.3000592462170961,2.084587676021983,0.5283228621833302,0.21129745918511678,0.26310798602353436,0.4361086144869344,0.08177318742448103,0.8583396254513799,0.9137622925496276,0.20889520681492302,0.47775900959956596,0.8270629168500394,0.28863024171308604,0.613931303278077,0.43461515606204815,0.3858152872812691,0.7954567976715275,0.4633158591949802,0.47276352736742644,0.9917872196811546,0.9613222020126768,0.22941418214618148,0.22993094899800248,0.6728310415178695,0.4099313129470922,0.7138380592315354,0.7414519655953316,0.780757379304562,0.2602762462632626,0.9983569506166079,0.48769695204701013,0.08100740438247789,0.12062331964893469,0.5486966620199547,0.48338886745301557,0.9331040603252277,0.9025752731686005,0.47934208994269023,0.20953535964395664,0.5553986375031386,0.31969875853851293,0.6589260644137179,0.5005105539869994,0.8354461332904287,0.13441246478338986,0.24569662303122686,0.5818974252563691,0.6290411763732943,0.4119573474542638,0.904914528851906,0.8154676893849899,0.5360172797891841,0.41348075221149005,0.40678547810717236,0.11000969100820468,0.9352234484753147,0.22546965053797463,0.14855041705953442,0.5065131743055006,0.4531121891118578,0.0812563844186861,0.5807037428666324,0.6978879409105818,0.47725481626464406,0.07001978174454349,0.16957501211052073,0.1187378484880448,0.5812422721990772,0.08983877334594159,0.3815089928972323,0.15836075311388909,0.4191054175150406,0.6403388503360631,0.36332237890982355,0.8938792985778417,0.43532127436204315,0.9369369744956764,0.8274276718015752,0.12407986373691116,0.11181948309276735,0.1278273621395447,0.6349505597275265,0.6890518481805497,0.797440343675972,0.531809681868704,0.6686002073094273,0.6877666295273636,0.3243110182662351,0.6357298060488368,0.40910335655800867,0.6497397537497064,0.9328849058554437,0.42241167060170304,0.4960633625988432,0.3214724614907707,0.5685428777297438,0.8629039297583787,0.29608895882732433,0.8274658335846142,0.5051318205509235,0.22042334191562718,0.4104329059187495,0.8488159531744646,-4600.465164635212,0.24999922440390293,0.017660638280936333,2,4,1,4666.000443193922
